Xx,Xy,Xz,Tx,Ty,Tz,Nx,Ny,Nz,Bx,By,Bz,kv,tr,Xx2d,Xy2d,Tx2d,Ty2d,Nx2d,Ny2d,k2d,alpha,da,cosa,sina,tana,betar, betal,cosbr,cosbl,sinbr,sinbl,rrx,rry,rrz,rlx,rly,rlz,rrx_cp,rry_cp,rlx_cp,rly_cp,
141.079214,86.253712,-15.320720,0.782918,0.515969,-0.347585,-0.621095,0.620779,-0.478408,-0.031070,0.590437,0.806485,0.008740,-0.004934,144.230298,65.995292,0.963577,0.267431,-0.267030,0.963688,0.005745,0.852485,0.002679,0.658114,0.752918,1.144055,2.428837,1.901031,-0.756563,-0.324265,0.653921,0.945966,-0.340297,-0.366778,0.865836,-0.662710,0.639730,0.389308,-0.554128,-0.832431,-0.565435,0.824793,
144.925032,88.900899,-17.110155,0.755246,0.542088,-0.368434,-0.653572,0.582997,-0.482657,-0.046846,0.605323,0.794600,0.008624,-0.004960,149.028499,67.401446,0.955620,0.294602,-0.294230,0.955735,0.005584,0.866490,0.002924,0.647505,0.762061,1.176918,2.446714,1.871267,-0.768131,-0.295970,0.640292,0.955197,-0.331993,-0.362710,0.870760,-0.661893,0.640795,0.388947,-0.545410,-0.838169,-0.564238,0.825612,
148.629919,91.673333,-19.004204,0.726553,0.566248,-0.389210,-0.683955,0.544014,-0.486060,-0.063495,0.619351,0.782543,0.008514,-0.004979,153.785567,68.941026,0.947147,0.320799,-0.320391,0.947285,0.005420,0.881725,0.003162,0.635820,0.771837,1.213923,2.462504,1.840569,-0.778146,-0.266512,0.628084,0.963832,-0.322978,-0.357594,0.876249,-0.660046,0.643252,0.388029,-0.535530,-0.844516,-0.561622,0.827394,
152.188907,94.562090,-21.001374,0.697014,0.588406,-0.409817,-0.712167,0.504086,-0.488586,-0.080904,0.632409,0.770398,0.008365,-0.004955,158.499100,70.609141,0.938255,0.345945,-0.345440,0.938441,0.005226,0.898112,0.003372,0.623088,0.782152,1.255284,2.475566,1.808151,-0.786283,-0.235132,0.617867,0.971963,-0.312932,-0.351050,0.882518,-0.656738,0.647744,0.386163,-0.523985,-0.851727,-0.556860,0.830606,
155.598527,97.556096,-23.101476,0.666978,0.608416,-0.430082,-0.738012,0.463760,-0.490169,-0.098772,0.644337,0.758336,0.008129,-0.004854,163.167308,72.400184,0.929093,0.369846,-0.369183,0.929357,0.004976,0.915443,0.003523,0.609439,0.792833,1.300921,2.485823,1.774424,-0.792579,-0.202224,0.609769,0.979339,-0.302060,-0.342983,0.889450,-0.652109,0.654113,0.383262,-0.510859,-0.859665,-0.550089,0.835106,
158.857298,100.644980,-25.301295,0.637020,0.626105,-0.449664,-0.761230,0.423840,-0.490804,-0.116709,0.654949,0.746605,0.007753,-0.004640,167.789306,74.307311,0.919883,0.392193,-0.391316,0.920256,0.004643,0.933344,0.003580,0.595150,0.803615,1.350273,2.493017,1.739291,-0.796945,-0.167699,0.604052,0.985838,-0.290565,-0.333305,0.896928,-0.645992,0.662627,0.378972,-0.496192,-0.868213,-0.540902,0.841086,
161.967515,103.815958,-27.597258,0.607957,0.641278,-0.468136,-0.781563,0.385491,-0.490466,-0.134062,0.664059,0.735561,0.007194,-0.004288,172.365512,76.321843,0.910923,0.412575,-0.411463,0.911427,0.004209,0.951245,0.003505,0.580670,0.814139,1.402070,2.497135,1.703664,-0.799426,-0.132477,0.600765,0.991186,-0.278814,-0.322187,0.904687,-0.638634,0.672873,0.373347,-0.480355,-0.877074,-0.529615,0.848238,
164.935870,107.056704,-29.981883,0.580797,0.653836,-0.484946,-0.798802,0.350010,-0.489294,-0.150182,0.671557,0.725570,0.006426,-0.003793,176.898030,78.432834,0.902567,0.430550,-0.429226,0.903197,0.003671,0.968397,0.003275,0.566621,0.823978,1.454196,2.498682,1.668371,-0.800354,-0.097420,0.599527,0.995243,-0.267517,-0.310269,0.912232,-0.630282,0.684482,0.366373,-0.464246,-0.885706,-0.516431,0.856329,
167.774725,110.353462,-32.446084,0.556629,0.663768,-0.499576,-0.812845,0.318801,-0.487492,-0.164317,0.677430,0.716994,0.005449,-0.003248,181.390792,80.627163,0.895167,0.445732,-0.444238,0.895909,0.003044,0.983995,0.002891,0.553701,0.832716,1.503910,2.505064,1.649391,-0.804164,-0.078513,0.594408,0.996913,-0.261241,-0.303178,0.916426,-0.628868,0.686308,0.365385,-0.454914,-0.890535,-0.514638,0.857407,
170.501637,113.693757,-34.977167,0.536501,0.671209,-0.511512,-0.824435,0.291449,-0.485144,-0.176553,0.681989,0.709731,0.004617,0.000000,185.849433,82.890021,0.889044,0.457823,-0.456200,0.889877,0.002346,0.997306,0.002374,0.542567,0.840012,1.548218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
173.139426,117.065162,-37.560904,0.518566,0.677224,-0.521974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,190.281073,85.205311,0.884466,0.466605,0.000000,0.000000,0.000000,1.007734,0.001043,0.533778,0.845625,1.584225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
175.686994,120.465600,-40.196606,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,194.694019,87.556035,0.000000,0.000000,0.000000,0.000000,0.000000,1.007734,0.000000,0.533778,0.845625,1.584225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
